name,price,category,brand
"Linha Polietileno 0,80mmx100m para Pedreiro Lisa NOVE54 / REF. 3313100100",10.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,NOVE54
"Esquadro em Aço 12 Polegadas x30,4cm com Cabo de Alumínio DIMAX / REF. 9125038",25.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,DIMAX BR
"Telha Translúcida 2,44 x 1,10 Metros 1,1mm BRASILIT / REF. 639022447",159.9,TELHAS > TELHAS DE PVC,BRASILIT
"Eletrodo de Ferro Pacote com 10 peças 2,50mm E6013 VONDER / REF. 7458601302",14.9,AÇO > ELETRODOS,VONDER
"Eletrodo de Ferro Pacote com 10 peças 3,25mm E6013 VONDER / REF. 7458601303",19.9,AÇO > ELETRODOS,VONDER
Régua em Alumínio 2m para Pedreiro NOVE54 / REF. 3312020954,71.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,NOVE54
"Esquadro em Aço 10 Polegadas x25,4cm com Cabo de Alumínio DIMAX / REF.9105038",24.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,DIMAX BR
Balde de Plástico 12 Litros Reforçado com Alça Metálica DIMAX / REF. 3971038,15.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,DIMAX BR
"Cabo de Aço Galvanizado Alma de Fibra 9,53mm 3/8 (6x7) VONDER / REF. 3516095607",21.99,AÇO > AÇO PARA ARMAR,VONDER
Corda de Polipropileno 10mm 50m Trançada Preta - Ref. 46482 - CORDAVILLE,259.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,CORDAVILLE
Lona Plástica 4x8 Metros Compact Amarelo ROMA/ REF. 15538,118.9,LONAS > LONAS PARA USO GERAL,ROMA
Corda de Polipropileno 10mm 30m Trançada Preta - Ref. 46466 - CORDAVILLE,149.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,CORDAVILLE
"Cabo de Aço Galvanizado Plastificado Alma de Fibra 1,6mm 1/16 (6x7) VONDER / REF. 3521516707",1.49,AÇO > AÇO PARA ARMAR,VONDER
Corda de Polipropileno 03mm 10m Trançada para Varal Branca - Ref. 65110 - CORDAVILLE,9.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,CORDAVILLE
Tela Plástica para Fachada 2665 3x50 Metros Verde ROMA / REF. 14748,899.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,ROMA
Lona Plástica 4x100 Metros para Construção Preto ROMA/ REF. 6868,589.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,ROMA
Pó De Brita Saco 20KG GRANUMIX / REF. PO-07,7.9,MATERIAIS DE CAMPO > OUTROS MATERIAIS DE CAMPO,GRANUMIX
Lona Plástica 4x4 Metros Compact Azul ROMA/ REF. 15541,58.99,LONAS > LONAS PARA USO GERAL,ROMA
Areia Vegetal Saco 20KG GRANUMIX /REF.: AV-04 ,9.9,MATERIAIS DE CAMPO > OUTROS MATERIAIS DE CAMPO,GRANUMIX
Areia Industrial Grossa Saco 20KG GRANUMIX /REF. AIG-10,9.9,MATERIAIS DE CAMPO > OUTROS MATERIAIS DE CAMPO,GRANUMIX
Lona Plástica 4x10 Metros Compact Azul ROMA/ REF. 15544,148.9,LONAS > LONAS PARA USO GERAL,ROMA
