name,price,category,brand
ralo inox oculto caixa coletora lgmais,198.9,acess_hidraulico,LGMAIS
ralo inox com grelha linear lgmais,171.9,acess_hidraulico,LGMAIS
grelha em aluminio com porta grelha escovado lgmais,79.9,acess_hidraulico,LGMAIS
ralo inox oculto lgmais,149.9,acess_hidraulico,LGMAIS
grelha pvc com porta grelha retangular preta lgmais,74.9,acess_hidraulico,LGMAIS
bomba injetora monofasica cv bivolt ep fc dancor,1529.9,bombas_filtros,DANCOR
grelha pvc com porta grelha quadrada preta lgmais,69.9,acess_hidraulico,LGMAIS
bomba periferica cv v qb azul e preto dimax,165.9,bombas_filtros,DIMAX
bomba monofasica com prefiltro para piscina pratika pfw cv v dancor,949.9,bombas_filtros,DANCOR
filtro para piscina dfr dancor,549.9,bombas_filtros,DANCOR
grelha pvc com calha e saida lateral retangular preto lgmais,125.9,acess_hidraulico,LGMAIS
grelha em aluminio com porta grelha e tela escovada lgmais,185.9,acess_hidraulico,LGMAIS
grelha em aluminio com porta grelha escovada lgmais,155.9,acess_hidraulico,LGMAIS
caixa coletora em aluminio com grelha e tela polido lg mais,229.9,acess_hidraulico,LGMAIS
bomba centrifuga monofasica cv bivolt ultra dc dancor,999.9,bombas_filtros,DANCOR
grelha em aluminio com porta grelha branco lg mais,199.9,acess_hidraulico,LGMAIS
areia quartz para filtro de piscina dancor,57.9,bombas_filtros,DANCOR
bomba de piscina monofasica cv bivolt pratika pf w dancor,889.9,bombas_filtros,DANCOR
bomba periferica cv bivolt qb azul e preto dimax,399.9,bombas_filtros,DIMAX
bomba monofasica com prefiltro para piscina pratika pfw bivolt dancor,1145.9,bombas_filtros,DANCOR
salva ralo salvabras,3.9,acess_hidraulico,SALVABRAS
bomba periferica cv bivolt dp dancor,525.9,bombas_filtros,DANCOR
bomba autoaspirante cv v ai dancor,559.9,bombas_filtros,DANCOR
ralo linear pvc flat grelha branco tigre,127.9,acess_hidraulico,TIGRE
luva de correr em pvc para coletor de esgoto tigre,18.69,conexoes,TIGRE
te de latao tipo y xx g cromado blukit,99.9,conexoes,BLUKIT
bomba submersa w v ultradv dancor,449.9,bombas_filtros,DANCOR
filtro de piscina cv v dfr dancor,1899.9,bombas_filtros,DANCOR
bomba submersa cv v tsr mds dancor,999.9,bombas_filtros,DANCOR
bomba centrifuga monofasico cv bivolt cpr dancor,629.9,bombas_filtros,DANCOR
luva de latao cromado blukit,18.9,conexoes,BLUKIT
bomba centrifuga em aluminio cv v ultra dc dancor,699.9,bombas_filtros,DANCOR
ralo linear pvc grelha branca tigre,156.9,acess_hidraulico,TIGRE
ralo linear sifonado pvc smart tampa oculta elleve,199.9,acess_hidraulico,ELLEVE
juncao de esgoto para reducao simples pvc serie r tigre,51.9,conexoes,TIGRE
cap roscavel pvc polegadas tigre,44.39,conexoes,TIGRE
bomba submersa wv g anauger,612.9,bombas_filtros,ANAUGER
te de reducao de esgoto pvc serie r tigre,58.59,conexoes,TIGRE
te de esgoto pvc serie r tigre,24.39,conexoes,TIGRE
bomba autoaspirante monofasico cv v ultra da dancor,689.9,bombas_filtros,DANCOR
ralo em inox para lavatorio borda de aluminio xxcm astra,6.69,acess_hidraulico,ASTRA
bomba centrifuga monofasica cv v ultra dc dancor,485.9,bombas_filtros,DANCOR
grelha quadrada pvc cromado astra,14.5,acess_hidraulico,ASTRA
bomba periferica cv v bp intech machine v,179.9,bombas_filtros,INTECH MACHINE
cap de esgoto pvc serie r tigrecap de esgoto pvc serie r tigre,12.79,conexoes,TIGRE
tubo pvc mmxcm valvula de descarga tigre,6.5,tubos,TIGRE
adaptador para maquina de lavar branco tigre,29.9,conexoes,TIGRE
mangote pvc polegadas succao de agua espiral azul perfilnor,25.9,conexoes,PLASNOR
grelha pvc redonda abre e fecha branca tigre,11.89,acess_hidraulico,TIGRE
tubo para caixa de descarga se sobrepor mmxm tigre,19.9,tubos,TIGRE
tubo para caixa de descarga sobrepor pvc tigre,21.4,tubos,TIGRE
bomba periferica cv v com valvula bpv vonder,189.9,bombas_filtros,VONDER
grelha pvc quadrada abre e fecha branca tigre,12.9,acess_hidraulico,TIGRE
grelha pvc redonda abre e fecha cromada tigre,59.9,acess_hidraulico,TIGRE
grelha pvc quadrada abre e fecha cromada tigre,63.9,acess_hidraulico,TIGRE
te de reducao pvc aquatherm tigre,7.89,conexoes,TIGRE
te de reducao cpvc aquatherm tigre,4.9,conexoes,TIGRE
bomba centrifuga monofasica bc v cv schneider,519.9,bombas_filtros,SCHNEIDER
bucha de reducao cpvc aquatherm tigre,32.99,conexoes,TIGRE
adaptador ralo linear para caixa sifonada pvc tigre,19.99,conexoes,TIGRE
ralo seco pvc xx grelha quadrada branco luconi,5.9,acess_hidraulico,LUCONI
te de reducao soldavel pvc tigre,216.99,conexoes,TIGRE
bomba centrifuga monofasica cv bcr schneider,849.9,bombas_filtros,SCHNEIDER
bomba autoaspirante residencial asp cv v scheneider,869.9,bombas_filtros,SCHNEIDER
uniao tubo pvc aquatherm tigre,31.9,conexoes,TIGRE
conector macho cpvc polegada aquatherm tigre,24.99,conexoes,TIGRE
tubo de esgoto pvc tigre,49.9,tubos,TIGRE
tubo soldavel pvc cl tigre,48.9,tubos,TIGRE
curva galvalume retangular calha forte,33.9,conexoes,CALHA FORTE
uniao soldavel pvc aquatherm tigre,51.9,conexoes,TIGRE
juncao de esgoto pvc simples tigre,479.9,conexoes,TIGRE
calha pvc para piso normal tigre,399.9,acess_hidraulico,TIGRE
grelha quadrada giratoria pvc cromado astra,35.9,acess_hidraulico,ASTRA
joelho esgoto pvc g tigre,218.89,conexoes,TIGRE
luva de esgoto simples pvc tigre,52.9,conexoes,TIGRE
calha de piso e piscina reforcada pvc xxcm tigre,97.9,acess_hidraulico,TIGRE
te de reducao soldavel tigre,125.9,conexoes,TIGRE
grelha de piso retangular pvc dnxm cinza tigre,149.9,acess_hidraulico,TIGRE
grelha de piso e piscina retangular pvc cinza tigre,121.99,acess_hidraulico,TIGRE
calha platibanda galvalume calha forte,126.9,acess_hidraulico,CALHA FORTE
te de esgoto pvc tigre,314.99,conexoes,TIGRE
grelha de piso e piscina retangular pvc branco tigre,89.9,acess_hidraulico,TIGRE
curva de esgoto pvc graus longa tigre,499.9,conexoes,TIGRE
te soldavel cpvc aquatherm tigre,219.9,conexoes,TIGRE
adaptador soldavel pvc caixa agua longa tigre,21.9,conexoes,TIGRE
joelho cpvc g aquatherm tigre,139.9,conexoes,TIGRE
te de reducao pvc soldavel tigre,9.99,conexoes,TIGRE
uniao soldavel cpvc aquatherm tigre,157.9,conexoes,TIGRE
grelha de piso retangular pvc cinza tigre,148.0,acess_hidraulico,TIGRE
luva soldavel cpvc aquatherm tigre,183.9,conexoes,TIGRE
bucha de reducao roscavel cpvc polegadas tigre,46.59,conexoes,TIGRE
joelho soldavel cpvc graus aquatherm tigre,257.9,conexoes,TIGRE
cap soldavel cpvc aquatherm tigre,179.9,conexoes,TIGRE
adaptador soldavel pvc para caixa d'agua longo tigre,289.9,conexoes,TIGRE
joelho soldavel g cpvc aquatherm tigre,142.9,conexoes,TIGRE
te de inspecao e reducao para esgoto pvc serie r tigre,72.79,conexoes,TIGRE
cap esgoto pvc tigre,134.9,conexoes,TIGRE
grelha pvc quadrada branca tigre,13.99,acess_hidraulico,TIGRE
adaptador soldavel pvc longa caixa agua tigre,30.9,conexoes,TIGRE
joelho circular pvc graus aquapluv style branco tigre,25.9,conexoes,TIGRE
bucha reducao cpvc aquatherm tigre,199.99,conexoes,TIGRE
curva roscavel de pvc polegadas tigre,43.49,conexoes,TIGRE
calha beiral pvc aquapluv style branco tigre,282.9,acess_hidraulico,TIGRE
